"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row href 3","tablescraper-selected-row 8"
"Eta Lambda","1981","Southeastern Louisiana University","https://en.wikipedia.org/wiki/Southeastern_Louisiana_University","Hammond","https://en.wikipedia.org/wiki/Hammond,_Louisiana","Active","","","","","","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"Theta Lambda","October 20, 1981","West Chester University","https://en.wikipedia.org/wiki/West_Chester_University","Chester","https://en.wikipedia.org/wiki/Chester,_Pennsylvania","Active","98","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:37-132","[","]","","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania",""
"","1981","Charleston Southern University","https://en.wikipedia.org/wiki/Charleston_Southern_University","North Charleston","https://en.wikipedia.org/wiki/North_Charleston,_South_Carolina","Inactive","","","","","–20xx ?","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Iota Lambda"
"Kappa Lambda","1982","University of Tampa","https://en.wikipedia.org/wiki/University_of_Tampa","Tampa","https://en.wikipedia.org/wiki/Tampa,_Florida","Active","","","","","","Florida","https://en.wikipedia.org/wiki/Florida",""
"Lambda Lambda","1981","University of Wisconsin–Milwaukee","https://en.wikipedia.org/wiki/University_of_Wisconsin%E2%80%93Milwaukee","Marquette University","https://en.wikipedia.org/wiki/Marquette_University","Active","","","","","","Milwaukee","https://en.wikipedia.org/wiki/Milwaukee",""
"Mu Lambda","November 20, 1982","Eastern Kentucky University","https://en.wikipedia.org/wiki/Eastern_Kentucky_University","Richmond","https://en.wikipedia.org/wiki/Richmond,_Kentucky","Active","","","","","","Kentucky","https://en.wikipedia.org/wiki/Kentucky",""
"Nu Lambda","January 23, 1982","University of California, Los Angeles","https://en.wikipedia.org/wiki/University_of_California,_Los_Angeles","Los Angeles","https://en.wikipedia.org/wiki/Los_Angeles","Active","99","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-133","[","]","","California","https://en.wikipedia.org/wiki/California",""
"Xi Lambda","April 10, 1982","College of William & Mary","https://en.wikipedia.org/wiki/College_of_William_%26_Mary","Williamsburg","https://en.wikipedia.org/wiki/Williamsburg,_Virginia","Active","100","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-134","[","]","","Virginia","https://en.wikipedia.org/wiki/Virginia",""
"","","","","","","Inactive","","","","","198x ?–xxxx ?","","","Omicron Lambda"
"Pi Lambda","March 4, 1982","University of North Carolina at Pembroke","https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Pembroke","Pembroke","https://en.wikipedia.org/wiki/Pembroke,_North_Carolina","Active","101","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-135","[","]","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"Rho Lambda","1982","Auburn University at Montgomery","https://en.wikipedia.org/wiki/Auburn_University_at_Montgomery","Montgomery","https://en.wikipedia.org/wiki/Montgomery,_Alabama","Active","","","","","","Alabama","https://en.wikipedia.org/wiki/Alabama",""
"Saint Paul's College","","","https://en.wikipedia.org/wiki/Saint_Paul%27s_College_(Virginia)","Lawrenceville","https://en.wikipedia.org/wiki/Lawrenceville,_Virginia","Inactive","ai","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-136","[","]","198x ?–xxxx ?","Virginia","https://en.wikipedia.org/wiki/Virginia","Sigma Lamba"
"Tau Lambda","May 22, 1982","Radford University","https://en.wikipedia.org/wiki/Radford_University","Radford","https://en.wikipedia.org/wiki/Radford,_Virginia","Active","","","","","","Virginia","https://en.wikipedia.org/wiki/Virginia",""
"","1982","Virginia Tech","https://en.wikipedia.org/wiki/Virginia_Tech","Blacksburg","https://en.wikipedia.org/wiki/Blacksburg,_Virginia","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–20xx ?","Virginia","https://en.wikipedia.org/wiki/Virginia","Upsilon Lambda"
"Phi Lambda","","Texas A&M University–Corpus Christi","https://en.wikipedia.org/wiki/Texas_A%26M_University%E2%80%93Corpus_Christi","Corpus Christi","https://en.wikipedia.org/wiki/Corpus_Christi,_Texas","Active","102","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-138","[","]","198x ?–xxxx ?","Texas","https://en.wikipedia.org/wiki/Texas",""
"Chi Lambda","1983","University of Rochester","https://en.wikipedia.org/wiki/University_of_Rochester","Rochester Institute of Technology","https://en.wikipedia.org/wiki/Rochester_Institute_of_Technology","Active","103","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:17-139","[","]","New York","SUNY Brockport","https://en.wikipedia.org/wiki/SUNY_Brockport",""
"Psi Lambda","1983","Rutgers University–Newark","https://en.wikipedia.org/wiki/Rutgers_University%E2%80%93Newark","New Jersey Institute of Technology","https://en.wikipedia.org/wiki/New_Jersey_Institute_of_Technology","Active","104","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:14-140","[","]","","Newark","https://en.wikipedia.org/wiki/Newark,_New_Jersey",""
"","","Westchester County","https://en.wikipedia.org/wiki/Westchester_County,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Inactive","","","","","198x ?–xxxx ?","","","Omega Lambda"
"Alpha Mu","August 23, 1982","Christian Brothers University","https://en.wikipedia.org/wiki/Christian_Brothers_University","Memphis","https://en.wikipedia.org/wiki/Memphis,_Tennessee","Active","30","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:18-45","[","]","– xxxx ?; January 22, 2010","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"","","Fairleigh Dickinson University","https://en.wikipedia.org/wiki/Fairleigh_Dickinson_University","Teaneck","https://en.wikipedia.org/wiki/Teaneck,_New_Jersey","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","198x ?–20xx ?","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Beta Nu"
"","","","","","","Inactive","","","","","198x ?–xxxx ?","","","Gamma Mu"
"Delta Mu","November 13, 1982","Lander University","https://en.wikipedia.org/wiki/Lander_University","Greenwood","https://en.wikipedia.org/wiki/Greenwood,_South_Carolina","Active","106","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-142","[","]","","South Carolina","https://en.wikipedia.org/wiki/South_Carolina",""
"Epsilon Mu","December 4, 1982","Kansas State University","https://en.wikipedia.org/wiki/Kansas_State_University","Manhattan","https://en.wikipedia.org/wiki/Manhattan,_Kansas","Active","","","","","","Kansas","https://en.wikipedia.org/wiki/Kansas",""
"","1982","Troy University","https://en.wikipedia.org/wiki/Troy_University","Troy","https://en.wikipedia.org/wiki/Troy,_Alabama","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–201x ?","Alabama","https://en.wikipedia.org/wiki/Alabama","Zeta Mu"
"","","","","","","Inactive","","","","","198x ?–xxxx ?","","","Eta Mu"
"Theta Mu","March 18, 1984","Oklahoma State University–Oklahoma City","https://en.wikipedia.org/wiki/Oklahoma_State_University%E2%80%93Oklahoma_City","Oklahoma City","https://en.wikipedia.org/wiki/Oklahoma_City","Active","107","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:4-143","[","]","","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma",""
"Iota Mu","April 23, 1983","University of Kentucky","https://en.wikipedia.org/wiki/University_of_Kentucky","Lexington","https://en.wikipedia.org/wiki/Lexington,_Kentucky","Active","","","","","","Kentucky","https://en.wikipedia.org/wiki/Kentucky",""
"","1983","Peru State College","https://en.wikipedia.org/wiki/Peru_State_College","Peru","https://en.wikipedia.org/wiki/Peru,_Nebraska","Inactive","","","","","–xxxx ?","Nebraska","https://en.wikipedia.org/wiki/Nebraska","Kappa Mu"
"","1923","East Carolina University","https://en.wikipedia.org/wiki/East_Carolina_University","Greenville","https://en.wikipedia.org/wiki/Greenville,_North_Carolina","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–201x ?","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Lambda Mu prime"
"Mu Mu","1983","Georgia Southwestern State University","https://en.wikipedia.org/wiki/Georgia_Southwestern_State_University","Americus","https://en.wikipedia.org/wiki/Americus,_Georgia","Active","","","","","","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)",""
"Nu Mu","June 30, 1983","San Francisco State University","https://en.wikipedia.org/wiki/San_Francisco_State_University","San Francisco","https://en.wikipedia.org/wiki/San_Francisco","Active","108","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-145","[","]","","California","https://en.wikipedia.org/wiki/California",""
"","","","","","","Inactive","","","","","198x ?–xxxx ?","","","Xi Mu"
"Omicron Mu","1983","University at Buffalo","https://en.wikipedia.org/wiki/University_at_Buffalo","Buffalo State University","https://en.wikipedia.org/wiki/Buffalo_State_University","Active","109","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-147","[","]","","Buffalo","https://en.wikipedia.org/wiki/Buffalo,_New_York",""
"Pi Mu","November 16, 1983","Millersville","https://en.wikipedia.org/wiki/Millersville,_Pennsylvania","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Active","110","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-148","[","]","","","",""
"","October 22, 1983","Cornell University","https://en.wikipedia.org/wiki/Cornell_University","Ithaca","https://en.wikipedia.org/wiki/Ithaca,_New_York","Inactive","","","","","– 200x ?","New York","https://en.wikipedia.org/wiki/New_York_(state)","Rho Mu"
"Sigma Mu","October 5, 1983","Mississippi University for Women","https://en.wikipedia.org/wiki/Mississippi_University_for_Women","Columbus","https://en.wikipedia.org/wiki/Columbus,_Mississippi","Active","111","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-149","[","]","","Mississippi","https://en.wikipedia.org/wiki/Mississippi",""
"Tau Mu","1984","California State University, East Bay","https://en.wikipedia.org/wiki/California_State_University,_East_Bay","Hayward","https://en.wikipedia.org/wiki/Hayward,_California","Active","","","","","","California","https://en.wikipedia.org/wiki/California",""
"Upsilon Mu","February 25, 1984","Towson University","https://en.wikipedia.org/wiki/Towson_University","Towson","https://en.wikipedia.org/wiki/Towson,_Maryland","Active","112","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-150","[","]","","Maryland","https://en.wikipedia.org/wiki/Maryland",""
"Phi Mu","April 26, 1984","Stockton University","https://en.wikipedia.org/wiki/Stockton_University","Galloway Township","https://en.wikipedia.org/wiki/Galloway_Township,_New_Jersey","Active","","","","","","New Jersey","https://en.wikipedia.org/wiki/New_Jersey",""
"Chi Mu","1984","Nicholls State University","https://en.wikipedia.org/wiki/Nicholls_State_University","Thibodaux","https://en.wikipedia.org/wiki/Thibodaux,_Louisiana","Active","","","","","","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"Psi Mu","April 24, 1984","San Jose State University","https://en.wikipedia.org/wiki/San_Jose_State_University","San Jose","https://en.wikipedia.org/wiki/San_Jose,_California","Active","113","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-151","[","]","","California","https://en.wikipedia.org/wiki/California",""
"Omega Mu","May 1984","Mercer University","https://en.wikipedia.org/wiki/Mercer_University","Macon","https://en.wikipedia.org/wiki/Macon,_Georgia","Active","","","","","–xxxx ?; April 17, 2002","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)",""
"Alpha Nu","October 13, 1985","State University of New York at New Paltz","https://en.wikipedia.org/wiki/State_University_of_New_York_at_New_Paltz","New Paltz","https://en.wikipedia.org/wiki/New_Paltz_(village),_New_York","Active","114","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-152","[","]","","New York","https://en.wikipedia.org/wiki/New_York_(state)",""
"","1985","Fairleigh Dickinson University","https://en.wikipedia.org/wiki/Fairleigh_Dickinson_University","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Inactive","","","","","–xxxx ?","","","Beta Nu"
"Gamma Nu","May 28, 1985","Austin Peay State University","https://en.wikipedia.org/wiki/Austin_Peay_State_University","Clarksville","https://en.wikipedia.org/wiki/Clarksville,_Tennessee","Active","115","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-153","[","]","","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"Delta Nu","June 17, 1985","Cleveland","https://en.wikipedia.org/wiki/Cleveland","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","32","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:10-47","[","]","","","",""
"Epsilon Nu","1986","State University of New York at Albany","https://en.wikipedia.org/wiki/University_at_Albany,_SUNY","Albany","https://en.wikipedia.org/wiki/Albany,_New_York","Active","","","","","","New York","https://en.wikipedia.org/wiki/New_York_(state)",""
"Zeta Nu","January 26, 1985","University of California, Davis","https://en.wikipedia.org/wiki/University_of_California,_Davis","Davis","https://en.wikipedia.org/wiki/Davis,_California","Active","116","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-154","[","]","","California","https://en.wikipedia.org/wiki/California",""
"Eta Nu","1986","Clemson University","https://en.wikipedia.org/wiki/Clemson_University","Clemson","https://en.wikipedia.org/wiki/Clemson,_South_Carolina","Active","","","","","","South Carolina","https://en.wikipedia.org/wiki/South_Carolina",""
"Theta Nu","1986","James Madison University","https://en.wikipedia.org/wiki/James_Madison_University","Harrisonburg","https://en.wikipedia.org/wiki/Harrisonburg,_Virginia","Active","117","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-155","[","]","","Virginia","https://en.wikipedia.org/wiki/Virginia",""
"Iota Nu","March 23, 1986","Arkansas State University","https://en.wikipedia.org/wiki/Arkansas_State_University","Jonesboro","https://en.wikipedia.org/wiki/Jonesboro,_Arkansas","Active","","","","","","Arkansas","https://en.wikipedia.org/wiki/Arkansas",""
"Kappa Nu","March 23, 1986","University of Washington","https://en.wikipedia.org/wiki/University_of_Washington","Seattle","https://en.wikipedia.org/wiki/Seattle","Active","","","","","","Washington","https://en.wikipedia.org/wiki/Washington_(state)",""
"","1986","Georgia State University","https://en.wikipedia.org/wiki/Georgia_State_University","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–201x ?","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Lambda Nu prime"
"Mu Nu","July 10, 1987","Wichita State University","https://en.wikipedia.org/wiki/Wichita_State_University","Wichita","https://en.wikipedia.org/wiki/Wichita,_Kansas","Active","an","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-157","[","]","","Kansas","https://en.wikipedia.org/wiki/Kansas","Omicron Alpha)"
"Nu Nu","April 25, 1987","Oakland University","https://en.wikipedia.org/wiki/Oakland_University","Oakland County","https://en.wikipedia.org/wiki/Oakland_County,_Michigan","Active","16","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:0-21","[","]","","Michigan","https://en.wikipedia.org/wiki/Michigan",""
"Xi Nu","1987","Francis Marion University","https://en.wikipedia.org/wiki/Francis_Marion_University","Marion","https://en.wikipedia.org/wiki/Marion,_South_Carolina","Active","","","","","","South Carolina","https://en.wikipedia.org/wiki/South_Carolina",""
"Omicron Nu","","University of West Georgia","https://en.wikipedia.org/wiki/University_of_West_Georgia","Carrollton","https://en.wikipedia.org/wiki/Carrollton,_Georgia","Active","118","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-158","[","]","198x ?","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)",""
"Pi Nu","1987","University of North Carolina Wilmington","https://en.wikipedia.org/wiki/University_of_North_Carolina_Wilmington","Wilmington","https://en.wikipedia.org/wiki/Wilmington,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"Rho Nu","November 15, 1987","Old Dominion University","https://en.wikipedia.org/wiki/Old_Dominion_University","Norfolk","https://en.wikipedia.org/wiki/Norfolk,_Virginia","Active","20","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:33-27","[","]","","Virginia","https://en.wikipedia.org/wiki/Virginia",""
"Sigma Nu","1988","Johnson & Wales University","https://en.wikipedia.org/wiki/Johnson_%26_Wales_University","Providence","https://en.wikipedia.org/wiki/Providence,_Rhode_Island","Active","","","","","","Rhode Island","https://en.wikipedia.org/wiki/Rhode_Island",""
"Tau Nu","February 25, 1988","Ball State University","https://en.wikipedia.org/wiki/Ball_State_University","Muncie","https://en.wikipedia.org/wiki/Muncie,_Indiana","Active","119","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-159","[","]","","Indiana","https://en.wikipedia.org/wiki/Indiana",""
"Upsilon Nu","March 19, 1988","Iowa State University","https://en.wikipedia.org/wiki/Iowa_State_University","Ames","https://en.wikipedia.org/wiki/Ames,_Iowa","Active","120","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-160","[","]","","Iowa","https://en.wikipedia.org/wiki/Iowa",""
"Phi Nu","1988","American Baptist College","https://en.wikipedia.org/wiki/American_Baptist_College","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Active","","","","","","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"Chi Nu","1988","Jacksonville State University","https://en.wikipedia.org/wiki/Jacksonville_State_University","Jacksonville","https://en.wikipedia.org/wiki/Jacksonville,_Alabama","Active","","","","","","Alabama","https://en.wikipedia.org/wiki/Alabama",""
"","","","","","","Inactive","","","","","198x ?–xxxx ?","","","Psi Nu"
"Omega Nu","1989","University of North Carolina at Greensboro","https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Greensboro","Greensboro","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"","","","","","","Inactive","","","","","198x ?–xxxx ?","","","Alpha Xi"
"","","","","","","Inactive","","","","","198x ?–xxxx ?","","","Beta Xi"
"Gamma Xi","1989","Auburn University","https://en.wikipedia.org/wiki/Auburn_University","Auburn","https://en.wikipedia.org/wiki/Auburn,_Alabama","Active","","","","","","Alabama","https://en.wikipedia.org/wiki/Alabama",""
"","October 14, 1989","DeVry University","https://en.wikipedia.org/wiki/DeVry_University","Decatur","https://en.wikipedia.org/wiki/Decatur,_Georgia","Inactive","24","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:24-33","[","]","– xxxx ?","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Delta Xi"
"Epsilon Xi","1991","Georgia Southern University","https://en.wikipedia.org/wiki/Georgia_Southern_University","Statesboro","https://en.wikipedia.org/wiki/Statesboro,_Georgia","Active","","","","","","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)",""
"Zeta Xi","September 27, 1989","Western Carolina University","https://en.wikipedia.org/wiki/Western_Carolina_University","Cullohwee","https://en.wikipedia.org/wiki/Cullowhee,_North_Carolina","Active","121","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-161","[","]","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"Eta Xi","1988","Georgia College & State University","https://en.wikipedia.org/wiki/Georgia_College_%26_State_University","Milledgeville","https://en.wikipedia.org/wiki/Milledgeville,_Georgia","Active","","","","","","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)",""
"Theta Xi","January 12, 1990","University of Detroit Mercy","https://en.wikipedia.org/wiki/University_of_Detroit_Mercy","Marygrove College","https://en.wikipedia.org/wiki/Marygrove_College","Active","16","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:0-21","[","]","","Detroit","https://en.wikipedia.org/wiki/Detroit",""
"Iota Xi","1990","Southern Arkansas University","https://en.wikipedia.org/wiki/Southern_Arkansas_University","Magnolia","https://en.wikipedia.org/wiki/Magnolia,_Arkansas","Active","123","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-163","[","]","","Arkansas","https://en.wikipedia.org/wiki/Arkansas",""
"Kappa Xi","1990","University of Wisconsin–Whitewater","https://en.wikipedia.org/wiki/University_of_Wisconsin%E2%80%93Whitewater","Whitewater","https://en.wikipedia.org/wiki/Whitewater,_Wisconsin","Active","","","","","","Wisconsin","https://en.wikipedia.org/wiki/Wisconsin",""
"","","","","","","Inactive","","","","","199x ?–xxxx ?","","","Lambda Xi"
"Mu Xi","May 5, 1990","North Carolina State University","https://en.wikipedia.org/wiki/North_Carolina_State_University","Raleigh","https://en.wikipedia.org/wiki/Raleigh,_North_Carolina","Active","124","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-164","[","]","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"","","","","","","Inactive","","","","","199x ?–xxxx ?","","","Nu Xi"
"","1990","California Polytechnic State University, San Luis Obispo","https://en.wikipedia.org/wiki/California_Polytechnic_State_University,_San_Luis_Obispo","San Luis Obispo","https://en.wikipedia.org/wiki/San_Luis_Obispo,_California","Inactive","","","","","–xxxx ?","California","https://en.wikipedia.org/wiki/California","Xi Xi"
"Omicron Xi","January 8, 1991","Texas State University","https://en.wikipedia.org/wiki/Texas_State_University","San Marcos","https://en.wikipedia.org/wiki/San_Marcos,_Texas","Active","","","","","","Texas","https://en.wikipedia.org/wiki/Texas",""
"Pi Xi","March 30, 1991","University of Arizona","https://en.wikipedia.org/wiki/University_of_Arizona","Tucson","https://en.wikipedia.org/wiki/Tucson,_Arizona","Active","125","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-165","[","]","","Arizona","https://en.wikipedia.org/wiki/Arizona",""
"","","","","","","Inactive","","","","","199x ?–xxxx ?","","","Rho Xi"
"","","","","","","Inactive","","","","","199x ?–xxxx ?","","","Sigma Xi"
"Tau Xi","1999","University of West Alabama","https://en.wikipedia.org/wiki/University_of_West_Alabama","Livingston","https://en.wikipedia.org/wiki/Livingston,_Alabama","Active","40","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:11-66","[","]","","Alabama","https://en.wikipedia.org/wiki/Alabama","Sigma Theta"
"Upsilon Xi","September 28, 1991","University of North Carolina at Charlotte","https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Charlotte","Charlotte","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"Phi Xi","March 11, 2001","Christopher Newport University","https://en.wikipedia.org/wiki/Christopher_Newport_University","Newport News","https://en.wikipedia.org/wiki/Newport_News,_Virginia","Active","","","","","– 20xx ?; February 26, 2017","Virginia","https://en.wikipedia.org/wiki/Virginia",""
"","1992","Grand Valley State University","https://en.wikipedia.org/wiki/Grand_Valley_State_University","Allendale","https://en.wikipedia.org/wiki/Allendale,_Michigan","Inactive","16","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:0-21","[","]","–xxxx ?","Michigan","https://en.wikipedia.org/wiki/Michigan","Chi Xi"
"Psi Xi","1992","East Stroudsburg","https://en.wikipedia.org/wiki/East_Stroudsburg,_Pennsylvania","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Active","","","","","","","",""
"","1992","Washington State University","https://en.wikipedia.org/wiki/Washington_State_University","Pullman","https://en.wikipedia.org/wiki/Pullman,_Washington","Inactive","126","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-166","[","]","–20xx ?","Washington","https://en.wikipedia.org/wiki/Washington_(state)","Omega Xi"
"","1992","California State University, Chico","https://en.wikipedia.org/wiki/California_State_University,_Chico","Chico","https://en.wikipedia.org/wiki/Chico,_California","Inactive","","","","","–xxxx ?","California","https://en.wikipedia.org/wiki/California","Alpha Omicron"
"","","","","","","Inactive","","","","","199x ?–xxxx ?","","","Beta Omicron"
"Gamma Omicron","2018","Washburn University","https://en.wikipedia.org/wiki/Washburn_University","Topeka","https://en.wikipedia.org/wiki/Topeka,_Kansas","Active","127","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-167","[","]","","Kansas","https://en.wikipedia.org/wiki/Kansas",""
"","","","","","","Inactive","","","","","199x ?–xxxx ?","","","Delta Omicron"
"","","","","","","Inactive","","","","","199x ?–xxxx ?","","","Epsilon Omicron"
"Zeta Omicron","November 15, 1992","George Mason University","https://en.wikipedia.org/wiki/George_Mason_University","Fairfax","https://en.wikipedia.org/wiki/Fairfax,_Virginia","Active","128","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-168","[","]","","Virginia","https://en.wikipedia.org/wiki/Virginia",""
"Eta Omicron","April 24, 1993","West Virginia University","https://en.wikipedia.org/wiki/West_Virginia_University","Morgantown","https://en.wikipedia.org/wiki/Morgantown,_West_Virginia","Active","129","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-169","[","]","","West Virginia","https://en.wikipedia.org/wiki/West_Virginia",""
"Theta Omicron","April 19, 1993","Rutgers University–Camden","https://en.wikipedia.org/wiki/Rutgers_University%E2%80%93Camden","Camden","https://en.wikipedia.org/wiki/Camden,_New_Jersey","Active","130","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-170","[","]","","New Jersey","https://en.wikipedia.org/wiki/New_Jersey",""
"Iota Omicron","June 5, 1993","Tulane University","https://en.wikipedia.org/wiki/Tulane_University","Loyola University New Orleans","https://en.wikipedia.org/wiki/Loyola_University_New_Orleans","Active","131","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-171","[","]","","New Orleans","https://en.wikipedia.org/wiki/New_Orleans",""
"","","Bryant University","https://en.wikipedia.org/wiki/Bryant_University","Smithfield","https://en.wikipedia.org/wiki/Smithfield,_Rhode_Island","Inactive","","","","","199x ?–xxxx ?","Rhode Island","https://en.wikipedia.org/wiki/Rhode_Island","Kappa Omincron"
"Lambda Omicron","July 17, 1993","Texas Tech University","https://en.wikipedia.org/wiki/Texas_Tech_University","Lubbock","https://en.wikipedia.org/wiki/Lubbock,_Texas","Active","132","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-172","[","]","","Texas","https://en.wikipedia.org/wiki/Texas",""
"Mu Omicron","May 7, 1993","Appalachian State University","https://en.wikipedia.org/wiki/Appalachian_State_University","Boone","https://en.wikipedia.org/wiki/Boone,_North_Carolina","Active","133","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-173","[","]","– xxxx ?; November 2015","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"Nu Omicron","September 22, 1993","Duke University","https://en.wikipedia.org/wiki/Duke_University","Durham","https://en.wikipedia.org/wiki/Durham,_North_Carolina","Active","134","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-174","[","]","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
