"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row href 3","tablescraper-selected-row 8"
"Iota","1946","Talladega College","https://en.wikipedia.org/wiki/Talladega_College","Talladega","https://en.wikipedia.org/wiki/Talladega,_Alabama","Active","13","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-16","[","]","","Alabama","https://en.wikipedia.org/wiki/Alabama",""
"Kappa","March 15, 1946","Johnson C. Smith University","https://en.wikipedia.org/wiki/Johnson_C._Smith_University","Charlotte","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"","1923","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Inactive","14","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:20-17","[","]","–1937","","","Lambda first"
"","1946","Allen University","https://en.wikipedia.org/wiki/Allen_University","Columbia","https://en.wikipedia.org/wiki/Columbia,_South_Carolina","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–20xx ?","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Lambda"
"Mu","April 16, 1946","Claflin University","https://en.wikipedia.org/wiki/Claflin_University","Organgeburg","https://en.wikipedia.org/wiki/Orangeburg,_South_Carolina","Active","","","","","","South Carolina","https://en.wikipedia.org/wiki/South_Carolina",""
"Nu","1925","Virginia Union University","https://en.wikipedia.org/wiki/Virginia_Union_University","Richmond","https://en.wikipedia.org/wiki/Richmond,_Virginia","Active","","","","","","Virginia","https://en.wikipedia.org/wiki/Virginia",""
"","","Wilberforce University","https://en.wikipedia.org/wiki/Wilberforce_University","Detroit","https://en.wikipedia.org/wiki/Detroit","Inactive","16","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:0-21","[","]","192x ?–19xx","Michigan","https://en.wikipedia.org/wiki/Michigan","Xi first"
"","1965","Detroit","https://en.wikipedia.org/wiki/Detroit","Michigan","https://en.wikipedia.org/wiki/Michigan","Inactive","16","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:0-21","[","]","–xxxx ?","","","Xi"
"Omicron","1927","Shaw University","https://en.wikipedia.org/wiki/Shaw_University","Raleigh","https://en.wikipedia.org/wiki/Raleigh,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"","1927","Tulsa","https://en.wikipedia.org/wiki/Tulsa,_Oklahoma","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Inactive","18","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:1-23","[","]","–1928, November 1935–November 1945","","","Pi first (see Alpha Iota Zeta)"
"","May 30, 1946","Knoxville College","https://en.wikipedia.org/wiki/Knoxville_College","Knoxville","https://en.wikipedia.org/wiki/Knoxville,_Tennessee","Inactive","g","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-26","[","]","– 2015","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Pi"
