"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row href","tablescraper-selected-row 5","tablescraper-selected-row href 2","tablescraper-selected-row 6","tablescraper-selected-row href 3","tablescraper-selected-row 7","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 8","tablescraper-selected-row 9"
"767","Rho Rho","August 7, 1990","Stony Brook University","https://en.wikipedia.org/wiki/Stony_Brook_University","Stony Brook","https://en.wikipedia.org/wiki/Stony_Brook_University","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","","","","","",""
"768","Rho Sigma","August 7, 1990","University at Albany, SUNY","https://en.wikipedia.org/wiki/University_at_Albany,_SUNY","Albany","https://en.wikipedia.org/wiki/Albany,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","6","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:5-6","[","]","",""
"","","August 7, 1990","Virginia Wesleyan University","https://en.wikipedia.org/wiki/Virginia_Wesleyan_University","Norfolk","https://en.wikipedia.org/wiki/Norfolk,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Inactive, Reassigned","70","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:14-126","[","]","Rho Tau First","– xxxx ?"
"790","Rho Upsilon","","Denison University","https://en.wikipedia.org/wiki/Denison_University","Granville","https://en.wikipedia.org/wiki/Granville,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","","","","","","1990"
"788","","","Mississippi University for Women","https://en.wikipedia.org/wiki/Mississippi_University_for_Women","Columbus","https://en.wikipedia.org/wiki/Columbus,_Mississippi","Mississippi","https://en.wikipedia.org/wiki/Mississippi","Inactive","","","","","Rho Phi","199x ?–xxxx ?"
"","Rho Chi","August 7, 1990","University of Alabama in Huntsville","https://en.wikipedia.org/wiki/University_of_Alabama_in_Huntsville","Huntsville","https://en.wikipedia.org/wiki/Huntsville,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","14","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:11-26","[","]","",""
"","Rho Psi","","Texas A&M University–Corpus Christi","https://en.wikipedia.org/wiki/Texas_A%26M_University%E2%80%93Corpus_Christi","Corpus Christi","https://en.wikipedia.org/wiki/Corpus_Christi,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","","","","","","199x ?"
"792","","","University of California, Santa Cruz","https://en.wikipedia.org/wiki/University_of_California,_Santa_Cruz","Santa Cruz","https://en.wikipedia.org/wiki/Santa_Cruz,_California","California","https://en.wikipedia.org/wiki/California","Inactive","","","","","Sigma Alpha","199x ?–xxxx ?"
"","","","Tarleton State University","https://en.wikipedia.org/wiki/Tarleton_State_University","Stephenville","https://en.wikipedia.org/wiki/Stephenville,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Inactive","","","","","Sigma Epsilon","1990–xxxx ?"
"","Sigma Gamma","","Xavier University","https://en.wikipedia.org/wiki/Xavier_University","Cincinnati","https://en.wikipedia.org/wiki/Cincinnati","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","","","","","","1991"
"","Sigma Delta","September 29, 1991","Elon University","https://en.wikipedia.org/wiki/Elon_University","Elon","https://en.wikipedia.org/wiki/Elon,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","17","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:2-35","[","]","",""
"779","Sigma Zeta","","Wesleyan University","https://en.wikipedia.org/wiki/Wesleyan_University","Middletown","https://en.wikipedia.org/wiki/Middletown,_Connecticut","Connecticut","https://en.wikipedia.org/wiki/Connecticut","Active","12","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:6-20","[","]","","1991"
"780","Sigma Eta","October 12, 1991","State University of New York at New Paltz","https://en.wikipedia.org/wiki/State_University_of_New_York_at_New_Paltz","New Paltz","https://en.wikipedia.org/wiki/New_Paltz_(village),_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","6","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:5-6","[","]","",""
"781 ?","Sigma Theta","","Missouri State University","https://en.wikipedia.org/wiki/Missouri_State_University","Springfield","https://en.wikipedia.org/wiki/Springfield,_Missouri","Missouri","https://en.wikipedia.org/wiki/Missouri","Active","","","","","","1991"
"782 ?",",","","University of Toronto","https://en.wikipedia.org/wiki/University_of_Toronto","Toronto","https://en.wikipedia.org/wiki/Toronto","Ontario","https://en.wikipedia.org/wiki/Ontario","Inactive","be","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-129","[","]","Sigma Iota (see Delta)","1991–xxxx ?"
"783 ?","Sigma Kappa","","Missouri Western State University","https://en.wikipedia.org/wiki/Missouri_Western_State_University","St. Joseph","https://en.wikipedia.org/wiki/St._Joseph,_Missouri","Missouri","https://en.wikipedia.org/wiki/Missouri","Active","","","","","","1991"
