"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 8"
"Chi Alpha Zeta","June 8, 2008","Surprise","https://en.wikipedia.org/wiki/Surprise,_Arizona","Arizona","https://en.wikipedia.org/wiki/Arizona","Active","222","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-274","[","]",""
"Psi Alpha Zeta","","Madison","https://en.wikipedia.org/wiki/Madison,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","","","","",""
"Omega Alpha Zeta","","Albuquerque","https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico","New Mexico","https://en.wikipedia.org/wiki/New_Mexico","Active","","","","",""
"Alpha Beta Zeta","January 1939","Newport News","https://en.wikipedia.org/wiki/Newport_News,_Virginia","Hampton","https://en.wikipedia.org/wiki/Hampton,_Virginia","Active","","","","","Virginia"
"Beta Beta Zeta","","Columbia","https://en.wikipedia.org/wiki/Columbia,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","","","","",""
"Gamma Beta Zeta","","Brookhaven","https://en.wikipedia.org/wiki/Brookhaven,_Mississippi","Mississippi","https://en.wikipedia.org/wiki/Mississippi","Active","223","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:31-275","[","]",""
"Delta Beta Zeta","May 25, 1957","Rochdale Village, Queens","https://en.wikipedia.org/wiki/Rochdale_Village,_Queens","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","224","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-276","[","]",""
"Epsilon Beta Zeta","","Plant City","https://en.wikipedia.org/wiki/Plant_City,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","","","","",""
"Zeta Beta Zeta","","Flint","https://en.wikipedia.org/wiki/Flint,_Michigan","Michigan","https://en.wikipedia.org/wiki/Michigan","Active","225","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:28-277","[","]",""
"Eta Beta Zeta","April 16, 1968","Durham","https://en.wikipedia.org/wiki/Durham,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","226","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-278","[","]",""
"Iota Beta Zeta","","Blytheville","https://en.wikipedia.org/wiki/Blytheville,_Arkansas","Arkansas","https://en.wikipedia.org/wiki/Arkansas","Active","","","","",""
"Kappa Beta Zeta","","Milwaukee","https://en.wikipedia.org/wiki/Milwaukee","Wisconsin","https://en.wikipedia.org/wiki/Wisconsin","Active","","","","",""
"Lambda Beta Zeta","","Indian River County","https://en.wikipedia.org/wiki/Indian_River_County,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","","","","",""
"Mu Beta Zeta","April 7, 1956","Gastonia","https://en.wikipedia.org/wiki/Gastonia,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","227","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-279","[","]",""
"Nu Beta Zeta","","Radcliff","https://en.wikipedia.org/wiki/Radcliff,_Kentucky","Kentucky","https://en.wikipedia.org/wiki/Kentucky","Active","","","","",""
"Xi Beta Zeta","","Wilberforce","https://en.wikipedia.org/wiki/Wilberforce,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","","","","",""
