"fn","vcard","vcard 2","vcard href","mw-redirect","mw-redirect href","category","note"
"Nu Tau","1989","University of Massachusetts Amherst","https://en.wikipedia.org/wiki/University_of_Massachusetts_Amherst","Amherst, MA","https://en.wikipedia.org/wiki/Amherst,_MA","Active","Collective chapter for University of Massachusetts Amherst and American International College"
"Nu Upsilon","1989","University of Michigan–Dearborn","https://en.wikipedia.org/wiki/University_of_Michigan%E2%80%93Dearborn","Dearborn, MI","https://en.wikipedia.org/wiki/Dearborn,_MI","Active",""
"Nu Phi","1989","Commonwealth University-Lock Haven","https://en.wikipedia.org/wiki/Commonwealth_University-Lock_Haven","Lock Haven, PA","https://en.wikipedia.org/wiki/Lock_Haven,_PA","Active","Formerly known as Lock Haven University, the institution merged in 2022 with Bloomsburg University and Mansfield University to form Commonwealth University of Pennsylvania, with each institution representing a campus of the new university."
"Nu Chi","1989","Wofford College","https://en.wikipedia.org/wiki/Wofford_College","Spartanburg, SC","https://en.wikipedia.org/wiki/Spartanburg,_SC","Active","Chapter originally included University of South Carolina Upstate and Limestone University. However, USC Upstate later chartered a new chapter, while Limestone University ceased operations in 2025."
"Nu Psi","1990","University of Connecticut","https://en.wikipedia.org/wiki/University_of_Connecticut","Storrs, CT","https://en.wikipedia.org/wiki/Storrs,_CT","Active",""
"Nu Omega","1990","Southeastern Louisiana University","https://en.wikipedia.org/wiki/Southeastern_Louisiana_University","Hammond, LA","https://en.wikipedia.org/wiki/Hammond,_LA","Active",""
"Xi Alpha","1990","Centenary College of Louisiana","https://en.wikipedia.org/wiki/Centenary_College_of_Louisiana","Shreveport, LA","https://en.wikipedia.org/wiki/Shreveport,_LA","Active","Collective chapter for Centenary College and Louisiana State University - Shreveport."
"Xi Beta","1990","","","Daytona Beach, FL","https://en.wikipedia.org/wiki/Daytona_Beach,_FL","Active",""
"Xi Gamma","1991","Rowan University","https://en.wikipedia.org/wiki/Rowan_University","","","Active","Collective chapter for Rowan University and ."
"Xi Delta","1991","Princeton University","https://en.wikipedia.org/wiki/Princeton_University","Princeton, NJ","https://en.wikipedia.org/wiki/Princeton,_NJ","Inactive",""
"Xi Epsilon","1991","University of Rochester","https://en.wikipedia.org/wiki/University_of_Rochester","Rochester, NY","https://en.wikipedia.org/wiki/Rochester,_NY","Active",""
"Xi Zeta","1991","New York Institute of Technology","https://en.wikipedia.org/wiki/New_York_Institute_of_Technology","","","Active",""
"Xi Eta","1992","Commonwealth University-Mansfield","https://en.wikipedia.org/wiki/Commonwealth_University-Mansfield","Mansfield, PA","https://en.wikipedia.org/wiki/Mansfield,_PA","Inactive","Formerly known as Mansfield University, the institution merged in 2022 with Bloomsburg University and Lock Haven University to form Commonwealth University of Pennsylvania, with each institution representing a campus of the new university."
"Xi Theta","1992","","","Williamsburg, VA","https://en.wikipedia.org/wiki/Williamsburg,_VA","Active",""
"Xi Iota","1992","Saginaw Valley State University","https://en.wikipedia.org/wiki/Saginaw_Valley_State_University","University Center, MI","https://en.wikipedia.org/wiki/University_Center,_MI","Active",""
"Xi Kappa","1992","Bucknell University","https://en.wikipedia.org/wiki/Bucknell_University","Lewisburg, PA","https://en.wikipedia.org/wiki/Lewisburg,_PA","Active",""
"Xi Lambda","1992","University of North Florida","https://en.wikipedia.org/wiki/University_of_North_Florida","Jacksonville, FL","https://en.wikipedia.org/wiki/Jacksonville,_FL","Active",""
"Xi Mu","1992","Wesley College","https://en.wikipedia.org/wiki/Wesley_College_(Delaware)","Dover, DE","https://en.wikipedia.org/wiki/Dover,_DE","Inactive","The school was acquired by Delaware State University (DSU) in 2021 and is now the DSU Downtown campus."
