"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8"
"","","Savannah","https://en.wikipedia.org/wiki/Savannah,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","","","","","164","Beta Phi Lambda","194x ?"
"","","Muskogee","https://en.wikipedia.org/wiki/Muskogee,_Oklahoma","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Active","","","","","165","Beta Chi Lambda","194x ?"
"","December 14, 1940","Los Angeles","https://en.wikipedia.org/wiki/Los_Angeles","California","https://en.wikipedia.org/wiki/California","Active","135","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-201","[","]","166 ?","Beta Psi Lambda",""
"Beta Omega Lambda","","","","","","Unassigned","","","","","","",""
"","","Charlottesville","https://en.wikipedia.org/wiki/Charlottesville,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","","","","","167","Gamma Alpha Lambda","194x ?"
"Gamma Beta Lambda","","Frankfort","https://en.wikipedia.org/wiki/Frankfort,_Kentucky","Kentucky","https://en.wikipedia.org/wiki/Kentucky","Inactive","","","","","168","","194x ?–xxxx ?"
"","August 24, 1941","Greenville","https://en.wikipedia.org/wiki/Greenville,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","136","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-202","[","]","169","Gamma Gamma Lambda",""
"Gamma Delta Lambda","","Beckley","https://en.wikipedia.org/wiki/Beckley,_West_Virginia","West Virginia","https://en.wikipedia.org/wiki/West_Virginia","Inactive","","","","","170","","194x ?–19xx ?"
"Gamma Epsilon Lambda","","Hoplinsville","https://en.wikipedia.org/wiki/Hopkinsville,_Kentucky","Kentucky","https://en.wikipedia.org/wiki/Kentucky","Inactive","","","","","171","","194x ?–xxxx ?"
"","March 21, 1945","Tampa","https://en.wikipedia.org/wiki/Tampa,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","137","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-203","[","]","172","Gamma Zeta Lambda",""
"","September 14, 1945","Austin","https://en.wikipedia.org/wiki/Austin,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","138","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-204","[","]","173 ?","Gamma Eta Lambda",""
"","August 1945","Wilmington","https://en.wikipedia.org/wiki/Wilmington,_Delaware","Delaware","https://en.wikipedia.org/wiki/Delaware","Active","139","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-205","[","]","174","Gamma Theta Lambda",""
