"fn","vcard","vcard 2","vcard href","category","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href","mw-redirect 2","mw-redirect href 2"
"Beta Beta Pi","2006","","","Active","6","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-6","[","]","SUNY Oneonta","https://en.wikipedia.org/wiki/SUNY_Oneonta","Oneonta, NY","https://en.wikipedia.org/wiki/Oneonta,_NY"
"Beta Beta Chi","","Wesleyan University","https://en.wikipedia.org/wiki/Wesleyan_University","Active","","","","","","","Middletown, CT","https://en.wikipedia.org/wiki/Middletown,_CT"
"Beta Beta Psi","2007","University of Massachusetts Amherst","https://en.wikipedia.org/wiki/University_of_Massachusetts_Amherst","Active","","","","","","","Amherst, MA","https://en.wikipedia.org/wiki/Amherst,_MA"
"Beta Gamma","1947","Hampton University","https://en.wikipedia.org/wiki/Hampton_University","Active","","","","","","","Hampton, VA","https://en.wikipedia.org/wiki/Hampton,_VA"
"Beta Iota","1940","Buffalo Citywide","","Active","7","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-7","[","]","","","Buffalo, NY","https://en.wikipedia.org/wiki/Buffalo,_NY"
"Beta Lambda","1948","Brooklyn College","https://en.wikipedia.org/wiki/Brooklyn_College","Active","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","","","Brooklyn, NY","https://en.wikipedia.org/wiki/Brooklyn,_NY"
"Beta Xi","February 28, 1948","","","Active","","","","","St. Augustine's College","https://en.wikipedia.org/wiki/St._Augustine%27s_University_(Raleigh,_North_Carolina)","Raleigh, NC","https://en.wikipedia.org/wiki/Raleigh,_NC"
"Gamma","November 1916","Morgan State University","https://en.wikipedia.org/wiki/Morgan_State_University","Active","","","","","","","Baltimore, MD","https://en.wikipedia.org/wiki/Baltimore,_MD"
"Gamma Alpha Rho","2011","","","Active","","","","","Shippensburg University of Pennsylvania","https://en.wikipedia.org/wiki/Shippensburg_University_of_Pennsylvania","Shippensburg, PA","https://en.wikipedia.org/wiki/Shippensburg,_PA"
"Gamma Alpha Tau","November 15, 2011","University of New Haven","https://en.wikipedia.org/wiki/University_of_New_Haven","Active","","","","","","","West Haven, CT","https://en.wikipedia.org/wiki/West_Haven,_CT"
