"tablescraper-selected-row 3","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row href","tablescraper-selected-row 7","tablescraper-selected-row 8","reference","reference href","cite-bracket","cite-bracket 2"
"Pi Tau Omega","","Southfield","https://en.wikipedia.org/wiki/Southfield,_Michigan","Michigan","Active","","","",""
"Pi Upsilon Omega","May 23, 1987","Fort Lauderdale","https://en.wikipedia.org/wiki/Fort_Lauderdale,_Florida","Florida","Active","323","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-381","[","]"
"Pi Phi Omega","May 30, 1987","Forest Hills, Queens","https://en.wikipedia.org/wiki/Forest_Hills,_Queens","New York","Active","324","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-382","[","]"
"Pi Chi Omega","June 6, 1987","West Memphis","https://en.wikipedia.org/wiki/West_Memphis,_Arkansas","Arkansas","Active","325","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-383","[","]"
"Pi Psi Omega","","Spring Valley","https://en.wikipedia.org/wiki/Spring_Valley,_New_York","New York","Active","","","",""
"Pi Omega Omega","","Kingsport","https://en.wikipedia.org/wiki/Kingsport,_Tennessee","Tennessee","Active","","","",""
"Rho Alpha Omega","","Laurinburg","https://en.wikipedia.org/wiki/Laurinburg,_North_Carolina","North Carolina","Active","","","",""
"Rho Beta Omega","","Natchitoches","https://en.wikipedia.org/wiki/Natchitoches,_Louisiana","Louisiana","Active","","","",""
"Rho Gamma Omega","September 6, 1987","South Orange","https://en.wikipedia.org/wiki/South_Orange,_New_Jersey","New Jersey","Active","326","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-384","[","]"
"Rho Delta Omega","January 9, 1988","Palo Alto","https://en.wikipedia.org/wiki/Palo_Alto,_California","California","Active","327","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-385","[","]"
"Rho Epsilon Omega","January 23, 1988","Wellesley","https://en.wikipedia.org/wiki/Wellesley,_Massachusetts","Massachusetts","Active","328","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-386","[","]"
"Rho Zeta Omega","April 30, 1988","Marietta","https://en.wikipedia.org/wiki/Marietta,_Georgia","Georgia","Active","329","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-387","[","]"
"Rho Eta Omega","May 21, 1988","Richmond","https://en.wikipedia.org/wiki/Richmond,_Virginia","Virginia","Active","330","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-388","[","]"
"Rho Theta Omega","May 22, 1988","Philadelphia","https://en.wikipedia.org/wiki/Philadelphia","Pennsylvania","Active","331","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-389","[","]"
"Rho Iota Omega","June 25, 1988","Odessa","https://en.wikipedia.org/wiki/Odessa,_Texas","Texas","Active","332","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-390","[","]"
"Rho Kappa Omega","September 18, 1988","Jersey City","https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey","New Jersey","Active","333","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-391","[","]"
"Rho Lambda Omega","October 23, 1988","Jackson","https://en.wikipedia.org/wiki/Jackson,_Mississippi","Mississippi","Active","334","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-392","[","]"
"Rho Mu Omega","October 30, 1988","Washington","https://en.wikipedia.org/wiki/Washington,_D.C.","","Active","335","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-393","[","]"
"Rho Nu Omega","November 26, 1988","Seoul","https://en.wikipedia.org/wiki/Seoul","","Active","336","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-394","[","]"
"Rho Xi Omega","December 3, 1988","Pikesville","https://en.wikipedia.org/wiki/Pikesville,_Maryland","Maryland","Active","337","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-395","[","]"
"Rho Omicron Omega","December 10, 1988","Baytown","https://en.wikipedia.org/wiki/Baytown,_Texas","Texas","Active","338","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-396","[","]"
"Rho Pi Omega","","Harvey","https://en.wikipedia.org/wiki/Harvey,_Louisiana","Louisiana","Active","","","",""
"Rho Rho Omega","January 1989","Columbus","https://en.wikipedia.org/wiki/Columbus,_Georgia","Georgia","Active","339","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-397","[","]"
"Rho Sigma Omega","","Americus","https://en.wikipedia.org/wiki/Americus,_Georgia","Georgia","Active","","","",""
"Rho Tau Omega","March 19, 1989","Warrenton","https://en.wikipedia.org/wiki/Warrenton,_North_Carolina","North Carolina","Active","340","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-398","[","]"
"Rho Upsilon Omega","May 6, 1989","San Ramon","https://en.wikipedia.org/wiki/San_Ramon,_California","California","Active","341","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-399","[","]"
"Rho Phi Omega","May 1989","Bryan","https://en.wikipedia.org/wiki/Bryan,_Texas","Texas","Active","342","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-400","[","]"
"Rho Chi Omega","July 29, 1989","Madison","https://en.wikipedia.org/wiki/Madison,_Alabama","Alabama","Active","343","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-401","[","]"
"Rho Psi Omega","June 25, 1989","Charlotte","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","North Carolina","Active","344","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-402","[","]"
"Rho Omega Omega","","Clinton","https://en.wikipedia.org/wiki/Clinton,_North_Carolina","North Carolina","Active","345","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-403","[","]"
"Sigma Alpha Omega","","Tifton","https://en.wikipedia.org/wiki/Tifton,_Georgia","Georgia","Active","","","",""
"Sigma Beta Omega","","Camden","https://en.wikipedia.org/wiki/Camden,_Arkansas","Arkansas","Active","","","",""
"Sigma Gamma Omega","December 16, 1989","Harrisonburg","https://en.wikipedia.org/wiki/Harrisonburg,_Virginia","Virginia","Active","346","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-404","[","]"
"Sigma Delta Omega","","Elk Grove","https://en.wikipedia.org/wiki/Elk_Grove,_California","California","Active","","","",""
"Sigma Epsilon Omega","January 20, 1990","Warner Robins","https://en.wikipedia.org/wiki/Warner_Robins,_Georgia","Georgia","Active","347","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-405","[","]"
"Sigma Zeta Omega","January 27, 1990","Newark","https://en.wikipedia.org/wiki/Newark,_Delaware","Delaware","Active","348","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-406","[","]"
"","","","","","Inactive ?","","","",""
"Sigma Theta Omega","February 3, 1990","Saint Thomas","https://en.wikipedia.org/wiki/Saint_Thomas,_U.S._Virgin_Islands","","Active","","","",""
"Sigma Iota Omega","March 11, 1990","Fairmont","https://en.wikipedia.org/wiki/Fairmont,_West_Virginia","North Carolina","Active","349","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-407","[","]"
"Sigma Kappa Omega","January 18, 1990","Greensboro","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","North Carolina","Active","350","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-408","[","]"
"Sigma Lambda Omega","April 7, 1990","Van Nuys","https://en.wikipedia.org/wiki/Van_Nuys","California","Active","351","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-409","[","]"
"Sigma Mu Omega","","Lima","https://en.wikipedia.org/wiki/Lima,_Ohio","Ohio","Active","","","",""
"Sigma Nu Omega","","Roxboro","https://en.wikipedia.org/wiki/Roxboro,_North_Carolina","North Carolina","Active","","","",""
"Sigma Xi Omega","May 19, 1990","Bermuda","https://en.wikipedia.org/wiki/Bermuda","","Active","","","",""
"Sigma Omicron Omega","","Fort Walton Beach","https://en.wikipedia.org/wiki/Fort_Walton_Beach,_Florida","Florida","Active","","","",""
"Sigma Pi Omega","May 19, 1990","Torrance","https://en.wikipedia.org/wiki/Torrance,_California","California","Active","352","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-410","[","]"
"Sigma Rho Omega","May 19, 1990","Shreveport","https://en.wikipedia.org/wiki/Shreveport,_Louisiana","Louisiana","Active","","","",""
"Sigma Sigma Omega","","Oklahoma City","https://en.wikipedia.org/wiki/Oklahoma_City","Oklahoma","Active","","","",""
"Sigma Tau Omega","June 3, 1990","Cary","https://en.wikipedia.org/wiki/Cary,_North_Carolina","","Active","353","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-411","[","]"
"Sigma Upsilon Omega","June 17, 1990","Summerville","https://en.wikipedia.org/wiki/Summerville,_South_Carolina","South Carolina","Active","354","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-412","[","]"
"Sigma Phi Omega","June 21, 1990","Gary","https://en.wikipedia.org/wiki/Gary,_Indiana","Indiana","Active","","","",""
"","","","","","Inactive ?","","","",""
"Sigma Psi Omega","June 23, 1990","Malverne","https://en.wikipedia.org/wiki/Malverne,_New_York","New York","Active","355","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-413","[","]"
"Sigma Omega Omega","December 1990","Douglasville","https://en.wikipedia.org/wiki/Douglasville,_Georgia","Georgia","Active","356","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-414","[","]"
"Tau Alpha Omega","March 1991","Redford","https://en.wikipedia.org/wiki/Redford,_Michigan","Michigan","Active","357","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-415","[","]"
"Tau Beta Omega","April 27, 1991","Marina Del Rey","https://en.wikipedia.org/wiki/Marina_del_Rey,_California","California","Active","358","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-416","[","]"
"Tau Gamma Omega","November 2, 1991","Chicago","https://en.wikipedia.org/wiki/Chicago","Illinois","Active","359","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-417","[","]"
"Tau Delta Omega","November 10, 1991","Chester","https://en.wikipedia.org/wiki/Chester,_Pennsylvania","Pennsylvania","Active","360","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-418","[","]"
"Tau Epsilon Omega","November 16, 1991","East Point","https://en.wikipedia.org/wiki/East_Point,_Georgia","Georgia","Active","361","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-419","[","]"
"Tau Zeta Omega","January 18, 1992","Webster","https://en.wikipedia.org/wiki/Webster,_Texas","Texas","Active","362","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-420","[","]"
"Tau Eta Omega","","Cleveland","https://en.wikipedia.org/wiki/Cleveland","Tennessee","Active","","","",""
"Tau Theta Omega","","Quincy","https://en.wikipedia.org/wiki/Quincy,_Florida","Florida","Active","","","",""
"Tau Iota Omega","February 23, 1992","Slidell","https://en.wikipedia.org/wiki/Slidell,_Louisiana","Louisiana","Active","363","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-421","[","]"
"Tau Kappa Omega","","Plaqemine","https://en.wikipedia.org/wiki/Plaquemine,_Louisiana","Louisiana","Active","","","",""
"Tau Lambda Omega","April 12, 1992","Trotwood","https://en.wikipedia.org/wiki/Trotwood,_Ohio","Ohio","Active","364","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-422","[","]"
"Tau Mu Omega","May 17, 1992","Christiansburg","https://en.wikipedia.org/wiki/Christiansburg,_Virginia","Virginia","Active","365","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-423","[","]"
"Tau Nu Omega","June 13, 1992","Bronx","https://en.wikipedia.org/wiki/The_Bronx","New York","Active","366","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:47-424","[","]"
"Tau Xi Omega","December 12, 1992","Hamden","https://en.wikipedia.org/wiki/Hamden,_Connecticut","Connecticut","Active","367","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:48-425","[","]"
"Tau Omicron Omega","","Dublin","https://en.wikipedia.org/wiki/Dublin,_Georgia","Georgia","Active","","","",""
"Tau Pi Omega","January 23, 1993","Stone Mountain","https://en.wikipedia.org/wiki/Stone_Mountain,_Georgia","Georgia","Active","368","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:49-426","[","]"
"Tau Rho Omega","January 23, 1993","Carrollton","https://en.wikipedia.org/wiki/Carrollton,_Texas","Texas","Active","369","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:50-427","[","]"
"","","","","","Inactive ?","","","",""
"Tau Tau Omega","February 7, 1993","Santa Monica","https://en.wikipedia.org/wiki/Santa_Monica,_California","California","Active","370","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-428","[","]"
"Tau Upsilon Omega","April 17, 1993","Fairfield","https://en.wikipedia.org/wiki/Fairfield,_California","California","Active","371","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-429","[","]"
"Tau Phi Omega","","Chester","https://en.wikipedia.org/wiki/Chester,_Virginia","Virginia","Active","","","",""
"Tau Chi Omega","May 22, 1993","Deland","https://en.wikipedia.org/wiki/DeLand,_Florida","Florida","Active","372","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-430","[","]"
"Tau Psi Omega","","Iowa City","https://en.wikipedia.org/wiki/Iowa_City,_Iowa","Iowa","Active","","","",""
"Tau Omega Omega","","Jacksonville","https://en.wikipedia.org/wiki/Jacksonville,_Florida","North Carolina","Active","","","",""
"Upsilon Alpha Omega","January 29, 1994","Lawrenceville","https://en.wikipedia.org/wiki/Lawrenceville,_Georgia","Georgia","Active","8","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:52-14","[","]"
"Upsilon Beta Omega","May 15, 1994","Murray","https://en.wikipedia.org/wiki/Murray,_Utah","Utah","Active","2","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:51-2","[","]"
"","","","","","Inactive ?","","","",""
"Upsilon Delta Omega","June 18, 1994","Cherry Hill","https://en.wikipedia.org/wiki/Cherry_Hill,_New_Jersey","New Jersey","Active","","","",""
"Upsilon Epsilon Omega","May 26, 1994","Catonsville","https://en.wikipedia.org/wiki/Catonsville,_Maryland","Maryland","Active","373","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-431","[","]"
"Upsilon Zeta Omega","","Nacagdoches","https://en.wikipedia.org/wiki/Nacogdoches,_Texas","Texas","Active","","","",""
"Upsilon Eta Omega","April 29, 1995","Fairfield","https://en.wikipedia.org/wiki/Fairfield,_Alabama","Alabama","Active","374","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-432","[","]"
"Upsilon Theta Omega","December 2, 1995","Stillwater","https://en.wikipedia.org/wiki/Stillwater,_Oklahoma","Oklahoma","Active","375","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-433","[","]"
"Upsilon Iota Omega","December 16, 1995","Oxford","https://en.wikipedia.org/wiki/Oxford,_Mississippi","Mississippi","Active","376","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-434","[","]"
"Upsilon Kappa Omega","December 1, 1996","Fayetteville","https://en.wikipedia.org/wiki/Fayetteville,_North_Carolina","North Carolina","Active","377","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-435","[","]"
"Upsilon Lambda Omega","January 11, 1997","DeSoto","https://en.wikipedia.org/wiki/DeSoto,_Texas","Texas","Active","90","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:54-139","[","]"
"Upsilon Mu Omega","March 29, 1997","Milwaukee","https://en.wikipedia.org/wiki/Milwaukee","Wisconsin","Active","89","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:53-138","[","]"
"","","Binghamton","https://en.wikipedia.org/wiki/Binghamton,_New_York","New York","Inactive ?","378","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-436","[","]"
"Upsilon Xi Omega","May 31, 1997","Fort Lauderdale","https://en.wikipedia.org/wiki/Fort_Lauderdale,_Florida","Florida","Active","379","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-437","[","]"
"Upsilon Omicron Omega","June 1, 1997","Norfolk","https://en.wikipedia.org/wiki/Norfolk,_Virginia","Virginia","Active","380","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-438","[","]"
"Upsilon Pi Omega","","Starkville","https://en.wikipedia.org/wiki/Starkville,_Mississippi","Mississippi","Active","","","",""
"Upsilon Rho Omega","June 7, 1997","Lenexa","https://en.wikipedia.org/wiki/Lenexa,_Kansas","Kansas","Active","381","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-439","[","]"
"Upsilon Sigma Omega","June 14, 1997","Bennettsville","https://en.wikipedia.org/wiki/Bennettsville,_South_Carolina","South Carolina","Active","382","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-440","[","]"
"Upsilon Tau Omega","December 7, 1997","Fort Washington","https://en.wikipedia.org/wiki/Fort_Washington,_Maryland","Maryland","Active","383","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-441","[","]"
"Upsilon Upsilon Omega","January 24, 1998","Canton","https://en.wikipedia.org/wiki/Canton,_Mississippi","Mississippi","Active","","","",""
"Upsilon Phi Omega","January 31, 1998","Edwardsville","https://en.wikipedia.org/wiki/Edwardsville,_Illinois","Illinois","Active","384","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-442","[","]"
"Upsilon Chi Omega","February 7, 1998","Gulfport","https://en.wikipedia.org/wiki/Gulfport,_Mississippi","Mississippi","Active","385","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-443","[","]"
"Upsilon Psi Omega","March 14, 1998","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Tennessee","Active","386","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-444","[","]"
"Upsilon Omega Omega","May 9, 1998","Irmo","https://en.wikipedia.org/wiki/Irmo,_South_Carolina","South Carolina","Active","387","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-445","[","]"
"Phi Alpha Omega","","Bentonville","https://en.wikipedia.org/wiki/Bentonville,_Arkansas","Arkansas","Active","","","",""
"Phi Beta Omega","June 6, 1998","North Wales","https://en.wikipedia.org/wiki/North_Wales,_Pennsylvania","Pennsylvania","Active","388","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-446","[","]"
"Phi Gamma Omega","","Pineville","https://en.wikipedia.org/wiki/Pineville,_Louisiana","Louisiana","Active","","","",""
"Phi Delta Omega","June 13, 1998","Vidalia","https://en.wikipedia.org/wiki/Vidalia,_Georgia","Georgia","Active","","","",""
"Phi Epsilon Omega","","Harvey","https://en.wikipedia.org/wiki/Harvey,_Illinois","Illinois","Active","","","",""
"Phi Zeta Omega","","Magnolia","https://en.wikipedia.org/wiki/Magnolia,_Arkansas","Arkansas","Active","","","",""
"Phi Eta Omega","June 6, 1999","Scotch Plains","https://en.wikipedia.org/wiki/Scotch_Plains,_New_Jersey","New Jersey","Active","389","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-447","[","]"
"","","","","","Inactive?","","","",""
"Phi Iota Omega","December 11, 1999","Birmingham","https://en.wikipedia.org/wiki/Birmingham,_Alabama","Alabama","Active","390","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-448","[","]"
"Phi Kappa Omega","January 8, 2000","Oak Lawn","https://en.wikipedia.org/wiki/Oak_Lawn,_Illinois","Illinois","Active","391","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-449","[","]"
"Phi Lambda Omega","January 8, 2000","Memphis","https://en.wikipedia.org/wiki/Memphis,_Tennessee","Tennessee","Active","392","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-450","[","]"
"Phi Mu Omega","January 15, 2000","McComb","https://en.wikipedia.org/wiki/McComb,_Mississippi","Mississippi","Active","","","",""
"Phi Nu Omega","","Alexandria","https://en.wikipedia.org/wiki/Alexandria,_Virginia","Virginia","Active","393","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-451","[","]"
"Phi Xi Omega","January 13, 2000","San Marcos","https://en.wikipedia.org/wiki/San_Marcos,_Texas","Texas","Active","394","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-452","[","]"
"Phi Omicron Omega","February 25, 2000","Okinawa","https://en.wikipedia.org/wiki/Okinawa_(city)","","Active","","","",""
"Phi Pi Omega","February 25, 2000","Tyrone","https://en.wikipedia.org/wiki/Tyrone,_Georgia","Georgia","Active","395","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-453","[","]"
"Phi Rho Omega","","Baldwin","https://en.wikipedia.org/wiki/Baldwin,_Louisiana","Louisiana","Active","","","",""
"Phi Sigma Omega","June 25, 2000","Gonzales","https://en.wikipedia.org/wiki/Gonzales,_Louisiana","Louisiana","Active","396","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-454","[","]"
"Phi Tau Omega","January 20, 2001","Hapeville","https://en.wikipedia.org/wiki/Hapeville,_Georgia","Georgia","Active","397","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-455","[","]"
"Phi Upsilon Omega","","Town Creek","https://en.wikipedia.org/wiki/Town_Creek,_Alabama","Alabama","Active","","","",""
"Phi Phi Omega","","Alpharetta","https://en.wikipedia.org/wiki/Alpharetta,_Georgia","Georgia","Active","","","",""
"Phi Chi Omega","March 10, 2001","Smithfield","https://en.wikipedia.org/wiki/Smithfield,_Virginia","Virginia","Active","","","",""
"Phi Psi Omega","January 5, 2002","Forest Park","https://en.wikipedia.org/wiki/Forest_Park,_Ohio","Ohio","Active","398","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-456","[","]"
"Phi Omega Omega","","Alcolu","https://en.wikipedia.org/wiki/Alcolu,_South_Carolina","South Carolina","Active","","","",""
"Chi Alpha Omega","April 14, 2002","Schaumburg","https://en.wikipedia.org/wiki/Schaumburg,_Illinois","Illinois","Active","56","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:563-103","[","]"
"Chi Beta Omega","April 18, 2002","Falls Church","https://en.wikipedia.org/wiki/Falls_Church,_Virginia","Virginia","Active","55","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:553-102","[","]"
"Chi Gamma Omega","","Waycross","https://en.wikipedia.org/wiki/Waycross,_Georgia","Georgia","Active","","","",""
"Chi Delta Omega","July 3, 2002","Palm Coast","https://en.wikipedia.org/wiki/Palm_Coast,_Florida","Florida","Active","399","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-457","[","]"
"Chi Epsilon Omega","October 20, 2002","East Lansing","https://en.wikipedia.org/wiki/East_Lansing,_Michigan","Michigan","Active","400","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-458","[","]"
"Chi Zeta Omega","November 23, 2002","Plano","https://en.wikipedia.org/wiki/Plano,_Texas","Texas","Active","401","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-459","[","]"
"Chi Eta Omega","February 8, 2003","Conway","https://en.wikipedia.org/wiki/Conway,_Arkansas","Arkansas","Active","402","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-460","[","]"
"Chi Theta Omega","May 17, 2003","Frederick","https://en.wikipedia.org/wiki/Frederick,_Maryland","Maryland","Active","403","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-461","[","]"
"Chi Iota Omega","June 21, 2003","Kenansville","https://en.wikipedia.org/wiki/Kenansville,_North_Carolina","North Carolina","Active","404","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-462","[","]"
"Chi Kappa Omega","June 28, 2003","Lancaster","https://en.wikipedia.org/wiki/Lancaster,_California","California","Active","","","",""
"Chi Lambda Omega","","Hartsville","https://en.wikipedia.org/wiki/Hartsville,_South_Carolina","South Carolina","Active","","","",""
"Chi Mu Omega","December 6, 2003","Mound Bayou","https://en.wikipedia.org/wiki/Mound_Bayou,_Mississippi","Mississippi","Active","405","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-463","[","]"
"Chi Nu Omega","December 2003","Arkadelphia","https://en.wikipedia.org/wiki/Arkadelphia,_Arkansas","Arkansas","Active","","","",""
"Chi Xi Omega","","Decatur","https://en.wikipedia.org/wiki/Decatur,_Illinois","Illinois","Active","","","",""
"Chi Omicron Omega","April 4, 2004","Katy","https://en.wikipedia.org/wiki/Katy,_Texas","Texas","Active","406","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-464","[","]"
"Chi Pi Omega","May 22, 2004","Statesboro","https://en.wikipedia.org/wiki/Statesboro,_Georgia","Georgia","Active","407","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-465","[","]"
"Chi Rho Omega","August 28, 2004","Knightdale","https://en.wikipedia.org/wiki/Knightdale,_North_Carolina","North Carolina","Active","408","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-466","[","]"
"Chi Sigma Omega","December 5, 2004","Bolingbrook","https://en.wikipedia.org/wiki/Bolingbrook,_Illinois","Illinois","Active","409","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-467","[","]"
"Chi Tau Omega","","Conyers","https://en.wikipedia.org/wiki/Conyers,_Georgia","Georgia","Active","410","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-468","[","]"
"Chi Upsilon Omega","December 2004","Tallahassee","https://en.wikipedia.org/wiki/Tallahassee,_Florida","Florida","Active","411","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-469","[","]"
