"tablescraper-selected-row 3","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row href","tablescraper-selected-row 7","tablescraper-selected-row 8","reference","reference href","cite-bracket","cite-bracket 2"
"Gamma Gamma Omega","March 31, 1940","Asheville","https://en.wikipedia.org/wiki/Asheville,_North_Carolina","North Carolina","Active","","","",""
"Gamma Delta Omega","October 6, 1939","Portsmouth","https://en.wikipedia.org/wiki/Portsmouth,_Virginia","Virginia","Active","106","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-155","[","]"
"Gamma Epsilon Omega","","Jefferson City","https://en.wikipedia.org/wiki/Jefferson_City,_Missouri","Missouri","Active","","","",""
"Gamma Zeta Omega","April 27, 1940","Miami","https://en.wikipedia.org/wiki/Miami","Florida","Active","107","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-156","[","]"
"Gamma Eta Omega","May 28, 1940","Baton Rouge","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","Louisiana","Active","16","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:11-32","[","]"
"Gamma Theta Omega","December 7, 1940","Tampa","https://en.wikipedia.org/wiki/Tampa,_Florida","Florida","Active","108","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-157","[","]"
"Gamma Iota Omega","February 1941","Lynchburg","https://en.wikipedia.org/wiki/Lynchburg,_Virginia","Virginia","Active","","","",""
"Gamma Kappa Omega","March 15, 1941","Carbondale","https://en.wikipedia.org/wiki/Carbondale,_Illinois","Illinois","Active","109","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-158","[","]"
"Gamma Lambda Omega","","Lawrenceville","https://en.wikipedia.org/wiki/Lawrenceville,_Virginia","Virginia","Active","","","",""
"Gamma Mu Omega","December 13, 1941","Daytona Beach","https://en.wikipedia.org/wiki/Daytona_Beach,_Florida","Florida","Active","19","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:13-39","[","]"
"Gamma Nu Omega","February 7, 1942","Columbia","https://en.wikipedia.org/wiki/Columbia,_South_Carolina","South Carolina","Active","110","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-159","[","]"
"Gamma Xi Omega","February 14, 1942","Charleston","https://en.wikipedia.org/wiki/Charleston,_South_Carolina","South Carolina","Active","111","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-160","[","]"
"Gamma Omicron Omega","","Tyler","https://en.wikipedia.org/wiki/Tyler,_Texas","Texas","Active","112","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-161","[","]"
