"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row href","tablescraper-selected-row 5","tablescraper-selected-row href 2","tablescraper-selected-row 6","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href"
"1243","Zeta Kappa","November 20, 1976","University of South Alabama","https://en.wikipedia.org/wiki/University_of_South_Alabama","Mobile, Alabama","https://en.wikipedia.org/wiki/Mobile,_Alabama","Active","","","","","",""
"1629","Kappa Xi","November 20, 1976","University of Nevada, Las Vegas","https://en.wikipedia.org/wiki/University_of_Nevada,_Las_Vegas","","","Inactive","17","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:27-25","[","]","Las Vegas, Nevada","https://en.wikipedia.org/wiki/Las_Vegas,_Nevada"
"1247","Kappa Kappa","December 19, 1976","University of West Georgia","https://en.wikipedia.org/wiki/University_of_West_Georgia","Carrollton, Georgia","https://en.wikipedia.org/wiki/Carrollton,_Georgia","Active","","","","","",""
"1244","Eta Kappa (First)","March 12, 1977","Millersville University of Pennsylvania","https://en.wikipedia.org/wiki/Millersville_University","Millersville, Pennsylvania","https://en.wikipedia.org/wiki/Millersville,_Pennsylvania","Moved","aa","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-61","[","]","",""
"1245","Theta Kappa","March 12, 1977","Louisiana State University","https://en.wikipedia.org/wiki/Louisiana_State_University","Baton Rouge, Louisiana","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","Active","23","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:18-36","[","]","",""
"1249","Mu Kappa","May 1, 1977","California Polytechnic State University, San Luis Obispo","https://en.wikipedia.org/wiki/California_Polytechnic_State_University,_San_Luis_Obispo","San Luis Obispo, California","https://en.wikipedia.org/wiki/San_Luis_Obispo,_California","Active","","","","","",""
"1250","Nu Kappa","August 31, 1977","Southern Methodist University","https://en.wikipedia.org/wiki/Southern_Methodist_University","University Park, Texas","https://en.wikipedia.org/wiki/University_Park,_Texas","Inactive","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]","",""
"1251","Xi Kappa","August 31, 1977","PennWest California","https://en.wikipedia.org/wiki/PennWest_California","California, Pennsylvania","https://en.wikipedia.org/wiki/California,_Pennsylvania","Active","","","","","",""
"1270","Iota Lambda","December 17, 1977","Wilmington, North Carolina","https://en.wikipedia.org/wiki/Wilmington,_North_Carolina","","","Active","","","","","University of North Carolina at Wilmington","https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Wilmington"
"1273","Mu Lambda","December 17, 1977","Monroe, Louisiana","https://en.wikipedia.org/wiki/Monroe,_Louisiana","","","Inactive","23","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:18-36","[","]","University of Louisiana-Monroe","https://en.wikipedia.org/wiki/University_of_Louisiana-Monroe"
"1638","Tau Xi","December 17, 1977","University of Cincinnati","https://en.wikipedia.org/wiki/University_of_Cincinnati","","","Active","20","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:16-31","[","]","Cincinnati, Ohio","https://en.wikipedia.org/wiki/Cincinnati,_Ohio"
"1253","Pi Kappa","March 1, 1978","University of Arkansas at Little Rock","https://en.wikipedia.org/wiki/University_of_Arkansas_at_Little_Rock","Little Rock, Arkansas","https://en.wikipedia.org/wiki/Little_Rock,_Arkansas","Active","26","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:17-40","[","]","",""
"1643","Omega Xi","March 10, 1978","Lehigh University","https://en.wikipedia.org/wiki/Lehigh_University","Bethlehem, Pennsylvania","https://en.wikipedia.org/wiki/Bethlehem,_Pennsylvania","Active","","","","","",""
"","","","Albright College","https://en.wikipedia.org/wiki/Albright_College","","","","","","","","",""
"","","","Delaware Valley University","https://en.wikipedia.org/wiki/Delaware_Valley_University","","","","","","","","",""
"","","","","","","","","","","","","Kutztown University of Pennsylvania","https://en.wikipedia.org/wiki/Kutztown_University_of_Pennsylvania"
"","","","Lafayette College","https://en.wikipedia.org/wiki/Lafayette_College","","","","","","","","",""
"","","","Moravian University","https://en.wikipedia.org/wiki/Moravian_University","","","","","","","","",""
"","","","Muhlenberg College","https://en.wikipedia.org/wiki/Muhlenberg_College","","","","","","","","",""
"1254","Rho Kappa","March 10, 1978","Austin Peay State University","https://en.wikipedia.org/wiki/Austin_Peay_State_University","Clarksville, Tennessee","https://en.wikipedia.org/wiki/Clarksville,_Tennessee","Active","6","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:0-7","[","]","",""
"1255","Sigma Kappa","March 10, 1978","University of Central Oklahoma","https://en.wikipedia.org/wiki/University_of_Central_Oklahoma","Edmond, Oklahoma","https://en.wikipedia.org/wiki/Edmond,_Oklahoma","Inactive","22","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:20-35","[","]","",""
"1256","Tau Kappa","March 27, 1978","Omaha, Nebraska","https://en.wikipedia.org/wiki/Omaha,_Nebraska","","","Active","","","","","",""
"1258","Phi Kappa","September 15, 1978","Rowan University","https://en.wikipedia.org/wiki/Rowan_University","Glassboro, New Jersey","https://en.wikipedia.org/wiki/Glassboro,_New_Jersey","Active","","","","","",""
"1257","Upsilon Kappa","October 1, 1978","Oshkosh, Wisconsin","https://en.wikipedia.org/wiki/Oshkosh,_Wisconsin","","","Active","","","","","University of Wisconsin-Oshkosh","https://en.wikipedia.org/wiki/University_of_Wisconsin-Oshkosh"
"1283","Chi Lambda","March 1, 1979","Cookeville, Tennessee","https://en.wikipedia.org/wiki/Cookeville,_Tennessee","","","Active","6","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:0-7","[","]","Tennessee Tech University","https://en.wikipedia.org/wiki/Tennessee_Tech_University"
"1260","Psi Kappa","March 9, 1979","Winthrop University","https://en.wikipedia.org/wiki/Winthrop_University","Rock Hill, South Carolina","https://en.wikipedia.org/wiki/Rock_Hill,_South_Carolina","Active","","","","","",""
"1261","Omega Kappa","March 9, 1979","Nicholls State University","https://en.wikipedia.org/wiki/Nicholls_State_University","Thibodaux, Louisiana","https://en.wikipedia.org/wiki/Thibodaux,_Louisiana","Inactive","23","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:18-36","[","]","",""
"1274","Nu Lambda","March 15, 1980","University of Wisconsin–Milwaukee","https://en.wikipedia.org/wiki/University_of_Wisconsin%E2%80%93Milwaukee","Milwaukee, Wisconsin","https://en.wikipedia.org/wiki/Milwaukee","Inactive","","","","","",""
