"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 4","tablescraper-selected-row href","reference 2","reference href 2","cite-bracket 3","cite-bracket 4","tablescraper-selected-row 5"
"Mu Gamma Sigma -","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Aberdeen, Maryland","https://en.wikipedia.org/wiki/Aberdeen,_Maryland","190","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-205","[","]","September 13, 2014"
"Mu Delta Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Fort Myers, Florida","https://en.wikipedia.org/wiki/Fort_Myers,_Florida","","","","","May 9, 2015"
"Mu Epsilon Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Roswell, Georgia","https://en.wikipedia.org/wiki/Roswell,_Georgia","191","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-206","[","]","January 23, 2016"
"Mu Zeta Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Kankakee, Illinois","https://en.wikipedia.org/wiki/Kankakee,_Illinois","192","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-207","[","]","January 26, 2016"
"Mu Eta Sigma","","Active","64","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:7-78","[","]","Alexandria, Louisiana","https://en.wikipedia.org/wiki/Alexandria,_Louisiana","193","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-208","[","]","July 9, 2016"
"Mu Theta Sigma","2016","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Roanoke Rapids, North Carolina","https://en.wikipedia.org/wiki/Roanoke_Rapids,_North_Carolina","","","","",""
"Mu Iota Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Olive Branch, Mississippi","https://en.wikipedia.org/wiki/Olive_Branch,_Mississippi","","","","","October 2, 2016"
"Mu Kappa Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Waukegan, Illinois","https://en.wikipedia.org/wiki/Waukegan,_Illinois","","","","","September 30, 2016"
"Mu Lambda Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Trenton, New Jersey","https://en.wikipedia.org/wiki/Trenton,_New_Jersey","194","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-209","[","]","October 22, 2016"
"Mu Mu Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Tallahassee, Florida","https://en.wikipedia.org/wiki/Tallahassee,_Florida","195","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-210","[","]","June 28, 2017"
"Mu Nu Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","York, Pennsylvania","https://en.wikipedia.org/wiki/York,_Pennsylvania","","","","","November 10, 2017"
"Mu Xi Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Elizabeth City, North Carolina","https://en.wikipedia.org/wiki/Elizabeth_City,_North_Carolina","","","","","November 11, 2017"
"Mu Omicron Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Salisbury, Maryland","https://en.wikipedia.org/wiki/Salisbury,_Maryland","196","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-211","[","]","January 27, 2018"
"Mu Pi Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Bethlehem, Pennsylvania","https://en.wikipedia.org/wiki/Bethlehem,_Pennsylvania","","","","","May 19, 2018"
"Mu Rho Sigma","2018","Active","136","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:17-151","[","]","Henderson, Nevada","https://en.wikipedia.org/wiki/Henderson,_Nevada","","","","",""
"Mu Sigma Sigma","","Active","66","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:8-80","[","]","West Memphis, Arkansas","https://en.wikipedia.org/wiki/West_Memphis,_Arkansas","197","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-212","[","]","January 26, 2019"
"Mu Tau Sigma","","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Killeen, Texas","https://en.wikipedia.org/wiki/Killeen,_Texas","","","","","January 26, 2019"
"Mu Upsilon Sigma","","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","El Paso, Texas","https://en.wikipedia.org/wiki/El_Paso,_Texas","","","","","March 2, 2019"
"Mu Phi Sigma","","Active","198","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-213","[","]","","","","","","","September 28, 2019"
"Mu Chi Sigma","","Active","24","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:12-30","[","]","Stockton, California","https://en.wikipedia.org/wiki/Stockton,_California","","","","","October 5, 2019"
"Mu Psi Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Middletown, Delaware","https://en.wikipedia.org/wiki/Middletown,_Delaware","","","","","November 22, 2019"
"Mu Omega Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Fredericksburg, Virginia","https://en.wikipedia.org/wiki/Fredericksburg,_Virginia","199","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-214","[","]","June 20, 2020"
"Nu Alpha Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Livingston, Alabama","https://en.wikipedia.org/wiki/Livingston,_Alabama","200","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-215","[","]","June 20, 2020"
"Nu Beta Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","","","201","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-216","[","]","June 27, 2020"
"Nu Gamma Sigma","2020","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Carbondale, Illinois","https://en.wikipedia.org/wiki/Carbondale,_Illinois","","","","",""
"Nu Delta Sigma","","Active","24","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:12-30","[","]","San Bernardino County, California","https://en.wikipedia.org/wiki/San_Bernardino_County,_California","","","","","September 22, 2020"
"Nu Epsilon Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","St. Augustine, Florida","https://en.wikipedia.org/wiki/St._Augustine,_Florida","202","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-217","[","]","November 7, 2020"
"Nu Zeta Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Wrens, Georgia","https://en.wikipedia.org/wiki/Wrens,_Georgia","","","","","December 12, 2020"
"Nu Eta Sigma","","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Schertz, Texas","https://en.wikipedia.org/wiki/Schertz,_Texas","b","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-218","[","]","February 22, 2020"
