"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 4","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href"
"Chicago (IL) Alumni Chapter","1919","Active","North Central","31","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-35","[","]","",""
"Detroit (MI) Alumni Chapter","1920","Active","Northern","32","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-36","[","]","",""
"Indianapolis (IN) Alumni Chapter","1920","Active","North Central","33","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-37","[","]","",""
"Cleveland (OH) Alumni Chapter","1920","Active","East Central","34","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-38","[","]","",""
"Louisville (KY) Alumni Chapter","1920","Active","South Central","35","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-39","[","]","Louisville, KY","https://en.wikipedia.org/wiki/Louisville,_KY"
"St. Louis (MO) Alumni Chapter","1921","Active","Middle Western","36","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-40","[","]","St. Louis, MO","https://en.wikipedia.org/wiki/St._Louis,_MO"
"Columbus (OH) Alumni Chapter","1921","Active","East Central","37","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-41","[","]","Columbus, OH","https://en.wikipedia.org/wiki/Columbus,_OH"
"Baltimore (MD) Alumni Chapter","1921","Active","Eastern","38","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-42","[","]","Baltimore, MD","https://en.wikipedia.org/wiki/Baltimore,_MD"
"Durham (NC) Alumni Chapter","1921","Active","Middle Eastern","39","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-43","[","]","Durham, NC","https://en.wikipedia.org/wiki/Durham,_NC"
"Oklahoma City (OK) Alumni Chapter","1922","Active","Middle Western","40","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-44","[","]","Oklahoma City, OK","https://en.wikipedia.org/wiki/Oklahoma_City,_OK"
"Philadelphia (PA) Alumni Chapter","1922","Active","Northeastern","41","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-45","[","]","",""
"Pittsburgh (PA) Alumni Chapter","1922","Active","East Central","42","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-46","[","]","Pittsburgh, PA","https://en.wikipedia.org/wiki/Pittsburgh,_PA"
"Kansas City (MO) Alumni Chapter","1923","Active","Middle Western","43","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-47","[","]","Kansas City, MO","https://en.wikipedia.org/wiki/Kansas_City,_MO"
"Cincinnati (OH) Alumni Chapter","1923","Active","East Central","44","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-48","[","]","",""
"Atlanta (GA) Alumni Chapter","1924","Active","Southeastern","45","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-49","[","]","",""
"Washington (DC) Alumni Chapter","1924","Active","Eastern","46","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-50","[","]","",""
"Jacksonville (FL) Alumni Chapter","1925","Active","Southern","47","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-51","[","]","Jacksonville, FL","https://en.wikipedia.org/wiki/Jacksonville,_FL"
"Topeka (KS) Alumni Chapter","1925","Active","Middle Western","","","","","Topeka, KS","https://en.wikipedia.org/wiki/Topeka,_KS"
"Wichita (KS) Alumni Chapter","1925","Active","Middle Western","48","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-52","[","]","Wichita, KS","https://en.wikipedia.org/wiki/Wichita,_KS"
"Nashville (TN) Alumni Chapter","1926","Active","South Central","49","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-53","[","]","Nashville, TN","https://en.wikipedia.org/wiki/Nashville,_TN"
"Lexington (KY) Alumni Chapter","1927","Active","South Central","50","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-54","[","]","Lexington, KY","https://en.wikipedia.org/wiki/Lexington,_KY"
"Marshall (TX) Alumni Chapter","1928","Active","Southwestern","","","","","Marshall, TX","https://en.wikipedia.org/wiki/Marshall,_TX"
"Houston (TX) Alumni Chapter","1928","Active","Southwestern","51","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-55","[","]","",""
"Tampa (FL) Alumni Chapter","1928","Active","Southern","52","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-56","[","]","Tampa, FL","https://en.wikipedia.org/wiki/Tampa,_FL"
"Wilberforce (OH) Alumni Chapter","1928","Active","East Central","","","","","Wilberforce, OH","https://en.wikipedia.org/wiki/Wilberforce,_OH"
"Tuskegee (AL) Alumni Chapter","1929","Active","Southern","","","","","Tuskegee, AL","https://en.wikipedia.org/wiki/Tuskegee,_AL"
"Tulsa (OK) Alumni Chapter","1931","Active","Middle Western","","","","","Tulsa, OK","https://en.wikipedia.org/wiki/Tulsa,_OK"
"San Antonio (TX) Alumni Chapter","1931","Active","Southwestern","53","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-57","[","]","",""
"Bluefield (WV) Alumni Chapter","1932","Inactive","Middle Eastern","","","","","Bluefield, WV","https://en.wikipedia.org/wiki/Bluefield,_WV"
"Memphis (TN) Alumni Chapter","1934","Active","South Central","54","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-58","[","]","Memphis, TN","https://en.wikipedia.org/wiki/Memphis,_TN"
"Youngstown (OH) Alumni Chapter","1934","Active","East Central","55","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-59","[","]","Youngstown, OH","https://en.wikipedia.org/wiki/Youngstown,_OH"
"Dallas (TX) Alumni Chapter","1935","Active","Southwestern","56","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-60","[","]","",""
"New Orleans (LA) Alumni Chapter","1936","Active","Southwestern","57","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-61","[","]","",""
"New York (NY) Alumni Chapter","1937","Active","Northeastern","","","","","",""
"Little Rock (AR) Alumni Chapter","1938","Active","Southwestern","58","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-62","[","]","Little Rock, AR","https://en.wikipedia.org/wiki/Little_Rock,_AR"
"Los Angeles (CA) Alumni Chapter","1938","Active","Western","59","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-63","[","]","",""
"Springfield (IL) Alumni Chapter","1938","Active","North Central","60","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-64","[","]","Springfield, IL","https://en.wikipedia.org/wiki/Springfield,_IL"
"Charleston (WV) Alumni Chapter","1939","Active","East Central","","","","","Charleston, WV","https://en.wikipedia.org/wiki/Charleston,_WV"
"Jefferson City (MO) Alumni Chapter","1940","Active","Middle Western","61","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-65","[","]","Jefferson City, MO","https://en.wikipedia.org/wiki/Jefferson_City,_MO"
"Norfolk (VA) Alumni Chapter","1940","Active","Eastern","62","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-66","[","]","Norfolk, VA","https://en.wikipedia.org/wiki/Norfolk,_VA"
"Jackson (MS) Alumni Chapter","1941","Active","Southwestern","63","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-67","[","]","Jackson, MS","https://en.wikipedia.org/wiki/Jackson,_MS"
"Pittsburg (KS) Alumni Chapter","1941","Active","Middle Western","","","","","Pittsburg, KS","https://en.wikipedia.org/wiki/Pittsburg,_KS"
"Petersburg (VA) Alumni Chapter","1941","Active","Eastern","","","","","Petersburg, VA","https://en.wikipedia.org/wiki/Petersburg,_VA"
"Savannah (GA) Alumni Chapter","1941","Active","Southeastern","64","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-68","[","]","Savannah, GA","https://en.wikipedia.org/wiki/Savannah,_GA"
"Beckley-Southern (WV) Alumni Chapter","1941","Active","Middle Eastern","","","","","Beckley, WV","https://en.wikipedia.org/wiki/Beckley,_WV"
"Baton Rouge (LA) Alumni Chapter","1942","Active","Southwestern","65","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-69","[","]","Baton Rouge, LA","https://en.wikipedia.org/wiki/Baton_Rouge,_LA"
"Birmingham (AL) Alumni Chapter","1943","Active","Southern","66","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-70","[","]","Birmingham, AL","https://en.wikipedia.org/wiki/Birmingham,_AL"
"Charlotte (NC) Alumni Chapter","1944","Active","Middle Eastern","67","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-71","[","]","Charlotte, NC","https://en.wikipedia.org/wiki/Charlotte,_NC"
"Buffalo (NY) Alumni Chapter","1945","Active","Northern","","","","","Buffalo, NY","https://en.wikipedia.org/wiki/Buffalo,_NY"
"Charleston (SC) Alumni Chapter","1945","Active","Southeastern","","","","","Charleston, SC","https://en.wikipedia.org/wiki/Charleston,_SC"
"Richmond (VA) Alumni Chapter","1945","Active","Eastern","68","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-72","[","]","Richmond, VA","https://en.wikipedia.org/wiki/Richmond,_VA"
"Gary (IN) Alumni Chapter","1945","Active","North Central","69","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-73","[","]","Gary, IN","https://en.wikipedia.org/wiki/Gary,_IN"
"Hampton-Newport News (VA) Alumni Chapter","1945","Active","Eastern","70","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-74","[","]","Hampton","https://en.wikipedia.org/wiki/Hampton,_VA"
"Northfolk (WV) Alumni Chapter","1945","Inactive","Middle Eastern","","","","","Northfork, WV","https://en.wikipedia.org/wiki/Northfork,_WV"
"Muskogee (OK) Alumni Chapter","1946","Active","Middle Western","","","","","Muskogee, OK","https://en.wikipedia.org/wiki/Muskogee,_OK"
"Chattanooga (TN) Alumni Chapter","1946","Active","South Central","71","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-75","[","]","Chattanooga, TN","https://en.wikipedia.org/wiki/Chattanooga,_TN"
"Greensboro (NC) Alumni Chapter","1946","Active","Middle Eastern","72","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-76","[","]","Greensboro, NC","https://en.wikipedia.org/wiki/Greensboro,_NC"
"Tallahassee (FL) Alumni Chapter","1946","Active","Southern","73","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-77","[","]","Tallahassee, FL","https://en.wikipedia.org/wiki/Tallahassee,_FL"
"Knoxville (TN) Alumni Chapter","1946","Active","South Central","74","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-78","[","]","Knoxville, TN","https://en.wikipedia.org/wiki/Knoxville,_TN"
"Miami (FL) Alumni Chapter","1946","Active","Southern","75","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-79","[","]","",""
"Dayton (OH) Alumni Chapter","1946","Active","East Central","76","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-80","[","]","Dayton, OH","https://en.wikipedia.org/wiki/Dayton,_OH"
"Columbia (SC) Alumni Chapter","1947","Active","Southeastern","77","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-81","[","]","Columbia, SC","https://en.wikipedia.org/wiki/Columbia,_SC"
"Pensacola (FL) Alumni Chapter","1947","Active","Southern","78","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-82","[","]","Pensacola, FL","https://en.wikipedia.org/wiki/Pensacola,_FL"
"Wilmington (DE) Alumni Chapter","1947","Active","Northeastern","79","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-83","[","]","Wilmington, DE","https://en.wikipedia.org/wiki/Wilmington,_DE"
"Flint (MI) Alumni Chapter","1947","Active","Northern","","","","","Flint, MI","https://en.wikipedia.org/wiki/Flint,_MI"
"Orlando (FL) Alumni Chapter","1947","Active","Southern","80","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-84","[","]","Orlando, FL","https://en.wikipedia.org/wiki/Orlando,_FL"
"Cheraw (SC) Alumni Chapter","1947","Active","Southeastern","","","","","Cheraw, SC","https://en.wikipedia.org/wiki/Cheraw,_SC"
"Berkeley (CA) Alumni Chapter","1947","Active","Western","81","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-85","[","]","Oakland, CA","https://en.wikipedia.org/wiki/Oakland,_CA"
"Phoenix (AZ) Alumni Chapter","1947","Active","Western","82","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-86","[","]","Phoenix, AZ","https://en.wikipedia.org/wiki/Phoenix,_AZ"
"Fort Worth (TX) Alumni Chapter","1947","Active","Southwestern","83","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-87","[","]","Fort Worth, TX","https://en.wikipedia.org/wiki/Fort_Worth,_TX"
"Columbus (GA) Alumni Chapter","1947","Active","Southeastern","84","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-88","[","]","Columbus, GA","https://en.wikipedia.org/wiki/Columbus,_GA"
"Newark (NJ) Alumni Chapter","1947","Active","Northeastern","","","","","Newark, NJ","https://en.wikipedia.org/wiki/Newark,_NJ"
"Wilmington (NC) Alumni Chapter","1948","Active","Middle Eastern","85","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-89","[","]","Wilmington, NC","https://en.wikipedia.org/wiki/Wilmington,_NC"
"Raleigh (NC) Alumni Chapter","1948","Active","Middle Eastern","86","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-90","[","]","Raleigh, NC","https://en.wikipedia.org/wiki/Raleigh,_NC"
"Orangeburg (SC) Alumni Chapter","1948","Active","Southeastern","","","","","Orangeburg, SC","https://en.wikipedia.org/wiki/Orangeburg,_SC"
"Milwaukee (WI) Alumni Chapter","1948","Active","North Central","87","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-91","[","]","Milwaukee, WI","https://en.wikipedia.org/wiki/Milwaukee,_WI"
"Tyler (TX) Alumni Chapter","1948","Active","Southwestern","","","","","Tyler, TX","https://en.wikipedia.org/wiki/Tyler,_TX"
"Shreveport (LA) Alumni Chapter","1948","Active","Southwestern","","","","","Shreveport, LA","https://en.wikipedia.org/wiki/Shreveport,_LA"
"Austin (TX) Alumni Chapter","1949","Active","Southwestern","88","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-92","[","]","Austin, TX","https://en.wikipedia.org/wiki/Austin,_TX"
"Daytona Beach (FL) Alumni Chapter","1949","Active","Southern","89","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-93","[","]","Daytona Beach, FL","https://en.wikipedia.org/wiki/Daytona_Beach,_FL"
"Rocky Mount (NC) Alumni Chapter","1949","Active","Middle Eastern","90","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-94","[","]","Rocky Mount, NC","https://en.wikipedia.org/wiki/Rocky_Mount,_NC"
"Trenton (NJ) Alumni Chapter","1949","Active","Northeastern","91","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-95","[","]","Trenton, NJ","https://en.wikipedia.org/wiki/Trenton,_NJ"
"Brooklyn-Long Island (NY) Alumni Chapter","1949","Active","Northeastern","92","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-96","[","]","",""
"Montgomery (AL) Alumni Chapter","1949","Active","Southern","93","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-97","[","]","Montgomery, AL","https://en.wikipedia.org/wiki/Montgomery,_AL"
"Jackson (TN) Alumni Chapter","1949","Active","South Central","94","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-98","[","]","Jackson, TN","https://en.wikipedia.org/wiki/Jackson,_TN"
"Macon-Warner Robins (GA) Alumni Chapter","1950","Active","Southeastern","95","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-99","[","]","",""
"Albany (GA) Alumni Chapter","1950","Active","Southeastern","96","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-auto2-100","[","]","Albany, GA","https://en.wikipedia.org/wiki/Albany,_GA"
"Hartford (CT) Alumni Chapter","1950","Active","Northeastern","97","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-101","[","]","Hartford, CT","https://en.wikipedia.org/wiki/Hartford,_CT"
"Des Moines (IA) Alumni Chapter","1950","Active","North Central","98","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-102","[","]","Des Moines, IA","https://en.wikipedia.org/wiki/Des_Moines,_IA"
"San Diego (CA) Alumni Chapter","1950","Active","Western","99","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-103","[","]","",""
"Mobile (AL) Alumni Chapter","1950","Active","Southern","100","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-104","[","]","Mobile, AL","https://en.wikipedia.org/wiki/Mobile,_AL"
"Winston-Salem (NC) Alumni Chapter","1950","Active","Middle Eastern","","","","","Winston-Salem, NC","https://en.wikipedia.org/wiki/Winston-Salem,_NC"
"Boston (MA) Alumni Chapter","1950","Active","Northeastern","101","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-105","[","]","",""
"Roanoke (VA) Alumni Chapter","1950","Active","Eastern","102","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-106","[","]","Roanoke, VA","https://en.wikipedia.org/wiki/Roanoke,_VA"
"Greenville (SC) Alumni Chapter","1950","Active","Southeastern","103","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-107","[","]","Greenville, SC","https://en.wikipedia.org/wiki/Greenville,_SC"
"Omaha (NE) Alumni Chapter","1950","Active","Middle Western","104","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-108","[","]","Omaha, NE","https://en.wikipedia.org/wiki/Omaha,_NE"
